op,payload_bytes,wire_bytes,packets,iterations,trial,total_elapsed_us,elapsed_us_per_op,bytes_per_sec,alloc_count,alloc_bytes
packet_encode,1024,1044,1,64,0,122,1.906,547672131,0,0
packet_encode,1024,1044,1,64,1,116,1.812,576000000,0,0
packet_encode,1024,1044,1,64,2,116,1.812,576000000,0,0
packet_encode,1024,1044,1,64,3,138,2.156,484173913,0,0
packet_encode,1024,1044,1,64,4,116,1.812,576000000,0,0
packet_encode,1024,1044,1,64,5,116,1.812,576000000,0,0
packet_encode,4096,4116,1,64,0,457,7.141,576420131,0,0
packet_encode,4096,4116,1,64,1,461,7.203,571418655,0,0
packet_encode,4096,4116,1,64,2,457,7.141,576420131,0,0
packet_encode,4096,4116,1,64,3,457,7.141,576420131,0,0
packet_encode,4096,4116,1,64,4,459,7.172,573908497,0,0
packet_encode,4096,4116,1,64,5,457,7.141,576420131,0,0
packet_encode,65536,65856,16,64,0,7357,114.953,572894386,0,0
packet_encode,65536,65856,16,64,1,7462,116.594,564833021,0,0
packet_encode,65536,65856,16,64,2,7342,114.719,574064832,0,0
packet_encode,65536,65856,16,64,3,7361,115.016,572583073,0,0
packet_encode,65536,65856,16,64,4,7344,114.750,573908497,0,0
packet_encode,65536,65856,16,64,5,7357,114.953,572894386,0,0
packet_encode,153600,154360,38,64,0,17501,273.453,564484315,0,0
packet_encode,153600,154360,38,64,1,17236,269.312,573163147,0,0
packet_encode,153600,154360,38,64,2,17573,274.578,562171513,0,0
packet_encode,153600,154360,38,64,3,18387,287.297,537283951,0,0
packet_encode,153600,154360,38,64,4,17386,271.656,568218107,0,0
packet_encode,153600,154360,38,64,5,17501,273.453,564484315,0,0
packet_encode,1048576,1053696,256,16,0,29679,1854.938,568049328,0,0
packet_encode,1048576,1053696,256,16,1,29503,1843.938,571438023,0,0
packet_encode,1048576,1053696,256,16,2,30082,1880.125,560439332,0,0
packet_encode,1048576,1053696,256,16,3,31781,1986.312,530478462,0,0
packet_encode,1048576,1053696,256,16,4,30464,1904.000,553411765,0,0
packet_encode,1048576,1053696,256,16,5,30082,1880.125,560439332,0,0
packet_decode,1024,1044,1,64,0,116,1.812,576000000,0,0
packet_decode,1024,1044,1,64,1,505,7.891,132308911,0,0
packet_decode,1024,1044,1,64,2,115,1.797,581008696,0,0
packet_decode,1024,1044,1,64,3,121,1.891,552198347,0,0
packet_decode,1024,1044,1,64,4,115,1.797,581008696,0,0
packet_decode,1024,1044,1,64,5,116,1.812,576000000,0,0
